,,,,,,,,,,,,,,,,,,
1191,"Chicago Heights, IL",·,·,·,·,·,·,·,·,·,X,·,X,·,·,·,·,·
1192,"Chickasha, OK",·,·,·,·,·,·,·,·,·,X,·,X,·,·,·,·,·
1210,"Chicopee, MA",·,·,·,·,·,·,·,·,·,X,X,X,X,X,·,·,·
1230,"Chillicothe, OH",·,·,·,·,·,·,·,·,·,X,·,X,X,X,·,·,·
1250,"Chula Vista, CA",·,·,X,X,·,X,·,·,·,·,·,·,·,·,·,·,·
1270,"Cicero, IL",·,·,·,·,·,·,·,·,·,X,X,X,·,·,·,·,·
1290,"Cincinnati, OH",·,·,X,X,·,·,X,X,X,X,X,X,X,X,X,X,X
1291,"Clairton, PA",·,·,·,·,·,·,·,·,·,X,·,·,·,·,·,·,·
1292,"Claremont, NH",·,·,·,·,·,·,·,·,·,X,·,·,·,·,·,·,·
1310,"Clarksburg, WV",·,·,·,·,·,·,·,·,·,X,X,·,·,·,·,·,·
1311,"Clarksdale, MS",·,·,·,·,·,·,·,·,·,X,·,·,·,·,·,·,·
1312,"Cleburne, TX",·,·,·,·,·,·,·,·,·,X,·,X,·,·,·,·,·
1330,"Cleveland, OH",X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1340,"Cleveland Heights, OH",·,·,·,·,·,·,·,·,·,X,·,·,·,·,·,·,·
1341,"Cliffside Park, NJ",·,·,·,·,·,·,·,·,·,X,·,·,·,·,·,·,·
1350,"Clifton, NJ",·,·,·,·,·,·,·,·,·,X,X,·,·,·,·,·,·
1351,"Clinton, IN",·,·,·,·,·,·,·,·,·,·,·,·,·,·,·,·,·
1370,"Clinton, IA",·,·,·,·,·,·,·,·,·,X,·,X,X,·,·,·,·
1371,"Clinton, MA",·,·,·,·,·,·,·,·,·,X,·,X,X,·,·,·,·
1372,"Coatesville, PA",·,·,·,·,·,·,·,·,·,X,·,X,·,·,·,·,·
1373,"Coffeyville, KS",·,·,·,·,·,·,·,·,·,X,·,X,·,·,·,·,·
1374,"Cohoes, NY",·,·,·,·,·,·,·,·,·,X,·,X,X,X,X,·,·
1375,"Collingswood, NJ",·,·,·,·,·,·,·,·,·,X,·,·,·,·,·,·,·
1390,"Colorado Springs, CO",·,·,·,·,·,X,X,·,·,X,X,X,X,·,·,·,·
Code,Label,2021,2016,2011,2006,2000,1990,1980,1950,1940,1930,1920,1910,1900,1880,1870,1860,1850
,,acs,acs,acs,acs,1pct,1pct,1pct,1pct,1pct,1pct,1pct,1pct,1pct,1pct,1pct,1pct,1%+
1410,"Columbia, SC",·,·,X,X,·,·,X,X,X,X,X,X,X,X,·,·,·
1411,"Columbia, PA",·,·,·,·,·,·,·,·,·,X,·,X,X,·,·,·,·
1412,"Columbia, MO",·,·,·,·,·,·,·,·,·,X,·,·,·,·,·,·,·
1420,"Columbia City, IN",·,·,·,·,·,·,·,·,·,·,·,·,·,·,·,·,·
1430,"Columbus, GA",X,X,X,X,·,·,·,·,·,X,X,X,X,X,·,·,·
1450,"Columbus, OH",·,·,·,·,·,·,X,X,X,X,X,X,X,X,X,X,X
1451,"Columbus, MS",·,·,·,·,·,·,·,·,·,X,·,·,·,·,·,·,·
1452,"Compton, CA",·,·,·,·,·,·,·,·,·,X,·,·,·,·,·,·,·
1470,"Concord, CA",·,·,·,·,·,X,X,·,·,·,·,·,·,·,·,·,·
1490,"Concord, NH",·,·,·,·,·,·,·,·,·,X,·,X,X,X,X,X,·
1491,"Concord, NC",·,·,·,·,·,·,·,·,·,X,·,·,·,·,·,·,·
1492,"Connellsville, PA",·,·,·,·,·,·,·,·,·,X,·,X,·,·,·,·,·
1493,"Connersville, IN",·,·,·,·,·,·,·,·,·,X,·,·,·,·,·,·,·
1494,"Conshohocken, PA",·,·,·,·,·,·,·,·,·,X,·,·,·,·,·,·,·
1495,"Coraopolis, PA",·,·,·,·,·,·,·,·,·,X,·,·,·,·,·,·,·
1496,"Corning, NY",·,·,·,·,·,·,·,·,·,X,·,X,X,·,·,·,·
1500,"Corona, CA",·,·,X,X,·,·,·,·,·,·,·,·,·,·,·,·,·
1510,"Council Bluffs, IA",·,·,·,·,·,·,·,·,·,X,X,X,X,X,X,·,·
1520,"Corpus Christi, TX",·,·,X,X,·,X,·,·,·,X,·,·,·,·,·,·,·
1521,"Corsicana, TX",·,·,·,·,·,·,·,·,·,X,·,·,·,·,·,·,·
1522,"Cortland, NY",·,·,·,·,·,·,·,·,·,X,·,X,·,·,·,·,·
1523,"Coshocton, OH",·,·,·,·,·,·,·,·,·,X,·,·,·,·,·,·,·
1530,"Covington, KY",·,·,·,·,·,·,·,·,·,X,X,X,X,X,X,X,·
1540,"Costa Mesa, CA",·,·,X,X,·,·,·,·,·,·,·,·,·,·,·,·,·
1545,"Cranford, NJ",·,·,·,·,·,·,·,·,·,·,·,·,·,·,·,·,·
Code,Label,2021,2016,2011,2006,2000,1990,1980,1950,1940,1930,1920,1910,1900,1880,1870,1860,1850
,,acs,acs,acs,acs,1pct,1pct,1pct,1pct,1pct,1pct,1pct,1pct,1pct,1pct,1pct,1pct,1%+
1550,"Cranston, RI",·,·,·,·,·,·,·,·,·,X,X,X,X,·,·,·,·
1551,"Crawfordsville, IN",·,·,·,·,·,·,·,·,·,X,·,·,·,·,·,·,·
1552,"Cripple Creek, CO",·,·,·,·,·,·,·,·,·,·,·,·,X,·,·,·,·
1553,"Cudahy, WI",·,·,·,·,·,·,·,·,·,X,·,·,·,·,·,·,·
1570,"Cumberland, MD",·,·,·,·,·,·,·,·,·,X,X,X,X,X,·,·,·
1571,"Cumberland, RI",·,·,·,·,·,·,·,·,·,X,·,X,·,·,·,·,·
1572,"Cuyahoga Falls, OH",·,·,·,·,·,·,·,·,·,X,·,·,·,·,·,·,·
1590,"Dallas, TX",·,·,·,·,·,X,X,X,X,X,X,X,X,X,·,·,·
1591,"Danbury, CT",·,·,·,·,·,·,·,·,·,X,·,X,X,X,·,·,·
1592,"Daly City, CA",·,·,·,·,·,X,·,·,·,·,·,·,·,·,·,·,·
1610,"Danvers, MA",·,·,·,·,·,·,·,·,·,X,·,·,·,·,·,·,·
1630,"Danville, IL",·,·,·,·,·,·,·,·,·,X,X,X,X,·,·,·,·
1631,"Danville, VA",·,·,·,·,·,·,·,·,·,X,·,X,X,·,·,·,·
1650,"Davenport, IA",·,·,·,·,·,·,·,·,·,X,X,X,X,X,X,X,·
1670,"Dayton, OH",·,·,X,X,·,·,X,X,X,X,X,X,X,X,X,X,X
1671,"Daytona Beach, FL",·,·,·,·,·,·,·,·,·,X,·,·,·,·,·,·,·
1680,"Dearborn, MI",·,·,·,·,·,·,·,·,·,X,·,·,·,·,·,·,·
1690,"Decatur, IL",·,·,·,·,·,·,·,·,·,X,X,X,X,·,·,·,·
1691,"Decatur, AL",·,·,·,·,·,·,·,·,·,X,·,·,·,·,·,·,·
1692,"Decatur, GA",·,·,·,·,·,·,·,·,·,X,·,·,·,·,·,·,·
1693,"Dedham, MA",·,·,·,·,·,·,·,·,·,X,·,·,·,·,·,·,·
1694,"Del Rio, TX",·,·,·,·,·,·,·,·,·,X,·,·,·,·,·,·,·
